 blocksize 	 all reads 	 time 	    checksum
         1        10167122    5020265             26
         2         5083561    2458687             26
         4         2541781    1316410             26
         8         1270891     318261             26
        16          635446     359877             26
        32          317723     805614             26
        64          158862     114164             26
       128           79431      73906             26
       256           39716      52708             26
       512           19858      43316             26
      1024            9929      37928             26
      2048            4965      35368             26
      4096            2483      32857             26
      8192            1242      33994             26
     16384             621      33063             26
     32768             311      33364             26
     65536             156      32297             26
    131072              78      32337             26
    262144              39      32886             26
    524288              20      33098             26
   1048576              10      34794             26
   2097152               5      35326             26
