 blocksize 	 all reads 	 time 	    checksum
         1        10167122     467082             26
         2         5083561     649341             26
         4         2541781     158584             26
         8         1270891     123783             26
        16          635446      90308             26
        32          317723     107592             26
        64          158862     116878             26
       128           79431      99309             26
       256           39716      95403             26
       512           19858     906346             26
      1024            9929      83470             26
      2048            4965      99646             26
      4096            2483      98914             26
      8192            1356     102843             26
     16384            1017     104158             26
     32768             509      99393             26
     65536             291      94068             26
    131072             146      97678             26
    262144              76      96934             26
    524288              39     895559             26
   1048576              20      98012             26
   2097152              10      91506             26
